sample_short	biology	spatial	well	batch	rank_id	area_gpt	included
scDVP-S2	Border	minusone	D2	SoSt	24	1840756	TRUE
scDVP-S2	Border	NA	D3	SoSt	25	1496334	FALSE
scDVP-S2	Border	minusone	D4	SoSt	26	8853554	TRUE
scDVP-S2	Border	NA	D5	SoSt	27	10187212	TRUE
scDVP-S2	Border	plusone	D6	SoSt	28	6794723	TRUE
scDVP-S2	Border	plusone	D7	SoSt	29	5384717	TRUE
scDVP-S2	Border	minustwo	D8	SoSt	30	5612701	TRUE
scDVP-S3	Island	minusone	E9	SoSt	9	3104422	TRUE
scDVP-S3	Island	minustwo	E11	SoSt	11	4377704.5	TRUE
scDVP-S3	Island	minustwo	E13	SoSt	13	4877937.5	TRUE
scDVP-S3	Border	plusone	E15	SoSt	15	10141387.5	TRUE
scDVP-S3	Border	plusone	E17	SoSt	17	2313742.5	TRUE
scDVP-S3	Border	plusone	E19	SoSt	19	3284883	TRUE
scDVP-S3	Border	plusone	E21	SoSt	21	4262992.5	TRUE
scDVP-S3	Island	plusone	E1	SoSt	1	4999015.5	TRUE
scDVP-S3	Island	minusone	E3	SoSt	3	2703075	TRUE
scDVP-S3	Island	minustwo	E5	SoSt	5	3459082.5	TRUE
scDVP-S3	Island	minusone	E7	SoSt	7	6241309	TRUE
scDVP-S3	Border	minusone	F9	SoSt	31	3988717.5	TRUE
scDVP-S3	Border	minusone	F11	SoSt	33	6292049.5	TRUE
scDVP-S3	Border	minustwo	F13	SoSt	35	3934483	TRUE
scDVP-S3	Border	plustwo	F15	SoSt	37	3763449.5	TRUE
scDVP-S3	Border	plustwo	F17	SoSt	39	5498800	TRUE
scDVP-S3	Border	plusone	F19	SoSt	41	4226940	TRUE
scDVP-S3	Border	minustwo	F21	SoSt	43	5192232.5	TRUE
scDVP-S3	Border	plusone	F1	SoSt	23	2910670	TRUE
scDVP-S3	Border	minusone	F3	SoSt	25	11514280	TRUE
scDVP-S3	Border	NA	F5	SoSt	27	3111986.5	FALSE
scDVP-S3	Border	minusone	F7	SoSt	29	3162813.5	TRUE
scDVP-S3	Island	minustwo	E10	SoSt	10	3719462.5	TRUE
scDVP-S3	Island	minustwo	E12	SoSt	12	4055612.5	TRUE
scDVP-S3	Island	minustwo	E14	SoSt	14	3424728.5	TRUE
scDVP-S3	Border	NA	E16	SoSt	16	3172421.5	FALSE
scDVP-S3	Border	plusone	E20	SoSt	20	6531350.5	TRUE
scDVP-S3	Border	plusone	E22	SoSt	22	1878602.5	TRUE
scDVP-S3	Island	minusone	E2	SoSt	2	3659708	TRUE
scDVP-S3	Island	minusone	E4	SoSt	4	3339824.5	TRUE
scDVP-S3	Island	minusone	E6	SoSt	6	2906814.5	TRUE
scDVP-S3	Island	minusone	E8	SoSt	8	2103102.5	TRUE
scDVP-S3	Border	minusone	F10	SoSt	32	5940908.5	TRUE
scDVP-S3	Border	minustwo	F12	SoSt	34	8787987	FALSE
scDVP-S3	Border	minustwo	F14	SoSt	36	4132021.5	TRUE
scDVP-S3	Border	plustwo	F16	SoSt	38	4090371.5	TRUE
scDVP-S3	Border	plusone	F18	SoSt	40	3790032	TRUE
scDVP-S3	Border	plustwo	F20	SoSt	42	4472933.5	TRUE
scDVP-S3	Border	NA	F22	SoSt	44	2815717.5	TRUE
scDVP-S3	Border	NA	F2	SoSt	24	4038061	FALSE
scDVP-S3	Border	minusone	F4	SoSt	26	2880388	TRUE
scDVP-S3	Border	minustwo	F6	SoSt	28	4056864	TRUE
scDVP-S3	Border	plusone	F8	SoSt	30	2214408.5	TRUE
scDVP-S4	Border	plustwo	A1	FAR	1	4899664	TRUE
scDVP-S4	Border	plustwo	A10	FAR	10	5419199.5	TRUE
scDVP-S4	Border	plustwo	A11	FAR	11	5098850	TRUE
scDVP-S4	Border	plusone	A12	FAR	12	5840936	TRUE
scDVP-S4	Border	plusone	A13	FAR	13	4080772	FALSE
scDVP-S4	Border	plusone	A14	FAR	14	9910599.5	TRUE
scDVP-S4	Border	plusone	A15	FAR	15	6977633.5	TRUE
scDVP-S4	Border	plusone	A16	FAR	16	3118567	TRUE
scDVP-S4	Border	plusone	A17	FAR	17	3675578	FALSE
scDVP-S4	Border	plusone	A18	FAR	18	4002724.5	TRUE
scDVP-S4	Border	plusone	A19	FAR	19	4691612	FALSE
scDVP-S4	Border	plustwo	A2	FAR	2	4643268.5	TRUE
scDVP-S4	Border	plusone	A20	FAR	20	5954459	TRUE
scDVP-S4	Border	minusone	A21	FAR	21	4535999.5	TRUE
scDVP-S4	Border	minusone	A22	FAR	22	4680822	TRUE
scDVP-S4	Border	plustwo	A3	FAR	3	6765467.5	TRUE
scDVP-S4	Border	plustwo	A4	FAR	4	2166928	TRUE
scDVP-S4	Border	plustwo	A5	FAR	5	2933267.5	TRUE
scDVP-S4	Border	plustwo	A6	FAR	6	6323358.5	TRUE
scDVP-S4	Border	plustwo	A7	FAR	7	6506985	TRUE
scDVP-S4	Border	plustwo	A8	FAR	8	5327352	FALSE
scDVP-S4	Border	plustwo	A9	FAR	9	5921511	TRUE
scDVP-S4	Border	minusone	B1	FAR	23	3913248.5	TRUE
scDVP-S4	Border	plusone	B10	FAR	32	3954053.5	TRUE
scDVP-S4	Border	minusone	B11	FAR	33	5248916	TRUE
scDVP-S4	Border	minustwo	B12	FAR	34	9108181	TRUE
scDVP-S4	Border	minustwo	B13	FAR	35	4480886	FALSE
scDVP-S4	Border	minustwo	B14	FAR	36	3317399	TRUE
scDVP-S4	Border	minustwo	B15	FAR	37	7649840	TRUE
scDVP-S4	Border	minustwo	B16	FAR	38	3752875.5	TRUE
scDVP-S4	Border	minustwo	B17	FAR	39	3158940.5	TRUE
scDVP-S4	Border	minusone	B18	FAR	40	3564359	FALSE
scDVP-S4	Border	minusone	B19	FAR	41	5819581	TRUE
scDVP-S4	Border	minusone	B2	FAR	24	3993461	TRUE
scDVP-S4	Border	plusone	B20	FAR	42	3337090	TRUE
scDVP-S4	Border	plustwo	B21	FAR	43	3481274	TRUE
