Genes	Bin_1	Bin_2	Bin_3	Bin_4	Bin_5	Bin_6	Bin_7	Bin_8	Bin_9	Bin_10	adj.P.Val
ABI1	0.09460662244710663	0.09545959906108928	0.0851738178677098	0.11507830783475337	0.08243725571277133	0.11517509053229888	0.08669364265093354	0.0985919158064007	0.13043484730432964	0.09634890078260683	0.40344696143895825
ABITRAM	0.10035789767330894	0.09720468025158327	0.0952043273497502	0.10008490837189535	0.13202772977497035	0.0736912176757784	0.14706765443118816	0.08769903943338049	0.10770130909821514	0.05896123593992968	0.7411770333005274
ABLIM1	0.09613938443875952	0.08987480840407898	0.09051164576193464	0.09520181503923107	0.09023865449837468	0.11394293109453403	0.08589874574993288	0.0979494195037902	0.10927893771069827	0.13096365779866578	0.8471729871370721
ABLIM3	0.09749880599357715	0.0837848513630031	0.08561253753919797	0.10574737871796874	0.07745657409540856	0.0998914917130693	0.07189432785595953	0.16491981285914734	0.10810371459314425	0.10509050526952408	0.7796368424441429
ABRAXAS2	0.09516314901673768	0.08934700162185083	0.09818765992879218	0.10774978309614791	0.09331464729572561	0.10648434992422182	0.0923191897291661	0.08291660988916927	0.0994885978628963	0.1350290116352923	0.25603095403744924
ACAA1	0.07584242785071708	0.10156296525201021	0.10262910628646096	0.11192632061735298	0.08808786091995027	0.12433387013453955	0.12305842427877857	0.10039922213446086	0.07858193573176558	0.09357786679396393	2.3058612044588046e-8
ACAA2	0.11707057225819276	0.10528026613537422	0.11354601643667528	0.10072749575771198	0.09708059869486595	0.10057781177631428	0.10606757729854419	0.09123204533206598	0.0988417373073932	0.0695758790028622	5.15492308388831e-6
ACACA	0.11008414510981542	0.1026078414576352	0.10175904297662464	0.11396557723789154	0.1007491007678255	0.11031283112945779	0.10388681252576121	0.09180430927319107	0.08775221157159974	0.077078127950197875	0.032498528815511
ACACB	0.11169172902313235	0.10897245705116551	0.10391209346971475	0.09508551165932133	0.11551701574281767	0.10039516243508712	0.11715976396726385	0.09209893643213514	0.07689548765917181	0.07827184256019051	0.00847187683328082
ACAD10	0.09554911943285409	0.11354606382827022	0.10668513986135435	0.09109101114221813	0.08187377898691399	0.10404628858737486	0.10011969929542618	0.09017092359454791	0.1136108825484253	0.10330709272261504	0.4363458735949621
ACAD11	0.07033734870765353	0.07901604242183038	0.08859655599298585	0.11155900192475215	0.10341545420948106	0.12259236099104341	0.12209242052735929	0.10947622343070436	0.07816874781947773	0.11474584397471216	6.447142440151917e-10
ACAD8	0.0980489449399682	0.10417999878132927	0.0914119474657837	0.09063762690985648	0.09496030287375748	0.12262264867833034	0.09183267779859494	0.1048278472326603	0.09580234549205145	0.10567565982766783	0.35511917363426077
ACAD9	0.0937939383425395	0.09927423375088096	0.10610724994221302	0.09839218461773773	0.0794228322138914	0.10590350374667493	0.09962691424993238	0.11010722911913089	0.10854468221376168	0.09882723180323756	0.6261782574475697
ACADL	0.07855875240428746	0.09210959770626101	0.15408158283644655	0.07547514772765261	0.06769139429092316	0.11726750127049398	0.10680638688290872	0.15607313089617747	0.09402664920139601	0.05790985678345305	0.5068202159934152
ACADM	0.09766125801608724	0.10510271602898923	0.10382620312974876	0.1096104451486156	0.10064824478002518	0.09368840824876697	0.10575341568368979	0.10961559568728836	0.09189570545970474	0.08219800781708415	0.28631855851802546
ACADS	0.1161449990753845	0.11325626736083926	0.10463826867935275	0.10267566460960227	0.0951040174153467	0.09885446407353585	0.09959321670472526	0.10129391734141394	0.09281114363966252	0.07562804110013695	0.016751713733133843
ACADSB	0.12009561171895615	0.11477077083273302	0.12390016239370555	0.10225659219460059	0.09530642354466333	0.08074353481794302	0.11115278303592646	0.12176885240202882	0.08907755007448849	0.040927718984954516	3.303821589873618e-5
ACADVL	0.09272889125789502	0.08866394620528961	0.10852184495489907	0.10574649581484691	0.08384042499061418	0.10079938572707668	0.10552867817635869	0.10691882076263375	0.11717667251963002	0.09007483959075609	0.8461379084553251
ACAP2	0.09231893093033806	0.13509907475883653	0.0963190290120207	0.07497851951082145	0.05798835747583317	0.1025466205847903	0.0941533808345531	0.14685067060422227	0.09425969973940244	0.10548571654918198	0.839690488141199
ACAT1	0.11550996103578898	0.11906870573449257	0.1014258914615525	0.10961700253802145	0.09461993461344412	0.09976354126683572	0.08772288362615911	0.10364529134105595	0.08701081983636497	0.08161596854628472	0.00847187683328082
ACAT2	0.10514747366267958	0.11639750635173135	0.10982502228639632	0.10120608595663172	0.09337153286359179	0.08025552787423698	0.13675486392614805	0.08031656909436076	0.0759768308913977	0.10074858709282568	0.6229346075957976
ACBD3	0.1200452554017748	0.09873863084927548	0.10888397554986663	0.12723063822661926	0.088218718929065	0.09347212282914338	0.07717252823264575	0.10535793911178479	0.10661665633962272	0.07426353453020222	1.3531000281316442e-4
ACBD4	0.09383559037688301	0.10466158524695472	0.09327258491618992	0.07679507242685095	0.10987960402027284	0.09963372210677507	0.10467402830632778	0.16811884353127157	0.07521862446343536	0.0739103446050387	0.6039918259219218
ACBD5	0.08548424213791765	0.10350796117781773	0.0895901810201425	0.12164138385656928	0.09845829288642237	0.0921497538119136	0.12007416910834649	0.0915761524148077	0.11085012054343964	0.08666774304262306	0.07190612599029715
ACIN1	0.13081950486189628	0.11403507135460565	0.11176246921717817	0.11261596147914422	0.0872164956984181	0.08097246370717144	0.0951701367445119	0.1016087534615745	0.09712343259430518	0.0686757108811945	0.005286946725828567
ACLY	0.0916211138661165	0.08997123479390223	0.09009475925792966	0.11816535578359216	0.13881168721264217	0.07538787779056882	0.09816874048131881	0.10725611652060313	0.07951974729483341	0.11100336699849303	0.2062800269685263
ACMSD	0.10711495569291278	0.09111849918017263	0.08481470722181514	0.10036660341113403	0.08340540986629758	0.10510941253809782	0.12202882794314829	0.11667422788409561	0.07229696271370004	0.11707039354862621	0.04131070228562618
ACO1	0.10374709439918813	0.10015268145402732	0.09754684827962087	0.09541638699552565	0.10038133262722498	0.10178118536567486	0.11878280951949552	0.10162144354053153	0.10045790751667308	0.08011231030203805	0.6317459123016052
ACO2	0.08939731558756012	0.08171232448555692	0.10975590559456352	0.10970213241793139	0.09452297648240258	0.1049845179081087	0.092222162672312	0.13783681046643123	0.11013355046445399	0.06973230392067958	0.6912492036018997
ACOT1	0.09803771223457045	0.12214714355946259	0.08590789642555409	0.13323719209991924	0.08968190470216214	0.1014453162634253	0.11852894843417112	0.11124895587225775	0.060486175839333495	0.07927875456914377	0.48647706156313003
ACOT12	0.08049038002750859	0.07686560617545354	0.07784876521837693	0.08542643068122213	0.12010721594303554	0.08385661336464305	0.15690911992906856	0.10096525076818162	0.10920930564469325	0.10832131224781681	0.001089461608732853
ACOT13	0.09075705432515878	0.1041504051814769	0.10096553557464703	0.11426529064572262	0.12526432405291937	0.10504422762956098	0.12318115682845765	0.08520812782210373	0.08542123303080597	0.06574264490914693	0.9207438147728875
ACOT4	0.07849345282357811	0.08836427935392979	0.06937775317120824	0.12028130644156987	0.08541428644046031	0.13667145803032552	0.15467901862846198	0.11693961164903832	0.05374056828770849	0.09603826517371929	4.0390881616949204e-4
ACOT7	0.09819600549434358	0.11550201684233034	0.0921998008100667	0.08747727271446987	0.11342126637995328	0.08527652440922397	0.09612232206115129	0.10696894450185634	0.10767064760606022	0.09716519918054434	0.2773701379278005
ACOT8	0.06191171715256072	0.0670179495842511	0.09275913916815566	0.10481554100351767	0.11922064956335328	0.13288368527279387	0.10925615895487853	0.10786366238762475	0.08318962182332676	0.12108187508953762	2.5439511237469148e-12
ACOT9	0.07350461784666551	0.08793101489766618	0.09278423271105579	0.09649143573768718	0.06149282049344818	0.12001796859097058	0.09580054750465954	0.15123858204003757	0.11528542987646855	0.10545335030134095	0.0016528094937502866
ACOX1	0.07963487196330539	0.0849860313278461	0.09312372248560576	0.11810242797318227	0.08117058699793912	0.10110891588593339	0.12313962731775134	0.11511100283636341	0.0937316209672096	0.10989119224486364	7.3769898068429896e-6
ACOX2	0.06618914074182822	0.07984991934223078	0.0915799230430008	0.11120035444057581	0.11656458095733312	0.1424906043523712	0.13348582891968397	0.10076921455342223	0.06417342937041047	0.09369700427914342	2.1290781172621e-9
ACOX3	0.05841328119806149	0.061370794117390035	0.09070223835951399	0.10824192633989776	0.1251904569635979	0.14778189993394514	0.09615065786323809	0.09915918136953433	0.08414388419039133	0.1288456796644299	7.269878511764254e-15
ACP1	0.11213119556989225	0.10428104296465689	0.10319509165070297	0.09594687483125754	0.09699488442995062	0.09705485238399371	0.10529517922162587	0.09894053309676402	0.09286919837345868	0.09329114747769751	0.40344696143895825
ACP2	0.11330522493183404	0.11333440737691784	0.10720434809735738	0.10524025437521572	0.08961705775624154	0.127269174875281	0.09887536780114901	0.07401912342166359	0.09023596656190136	0.08089907480243856	4.908265839134508e-4
ACP3	0.07972929558173662	0.056637390467794625	0.044581925865023714	0.06853506302550327	0.03867768756728435	0.09513543904698543	0.03631856042067518	0.17085395793418387	0.15240933925044375	0.25712134084036925	0.5787549105184462
ACP6	0.09765314359274956	0.10869032885353432	0.11288502560106775	0.08243646449357232	0.12236698994323272	0.07657698274282891	0.12114430214032304	0.07327073833453097	0.16774161817747368	0.03723440612068676	0.9783700853418099
ACP7	0.06889451469565681	0.07025247142197057	0.04579352944739202	0.11868094752381195	0.2168320838958324	0.09026888362302281	0.06636975796441102	0.06376878770431268	0.1301031129744681	0.1290359107491216	0.056630033422411526
ACSF2	0.1078312638518318	0.11036773220258189	0.12334826905654955	0.11122855192641735	0.07182166887693801	0.11628761394910592	0.11074300876138418	0.09249247047165292	0.08482904423572295	0.07105037666781543	0.5167317849080139
ACSF3	0.0909500489900961	0.09688006365494162	0.11063819605579611	0.08515041514861492	0.08741718730480814	0.10950343462735963	0.08303358561772103	0.12722885246942867	0.10130534061866299	0.1078928755125708	0.010525125525761727
ACSL1	0.10618913499718946	0.09984422633276901	0.11005246978940687	0.11140747346492581	0.09499690982624026	0.10771043879586382	0.09814598511700282	0.11040097874848455	0.08002471775849732	0.08122766516962006	0.008379109328315535
ACSL3	0.09451750577211973	0.0766065580196335	0.09443235639641527	0.09276394343376673	0.0897660430470804	0.09775833691937656	0.09366174995150132	0.1275632154693524	0.09885043732299949	0.1340798536677546	0.9179034143888861
ACSL4	0.04774843700916249	0.047298217441282646	0.08042714983094426	0.06389204956384263	0.05868910800785065	0.056620405632514074	0.045771494069172296	0.12279926460855685	0.12589474630055228	0.3508591275361218	0.6748406514208928
ACSL5	0.12551331707461497	0.12642651789717407	0.09410446282836409	0.10159182571300768	0.08525685529545828	0.10169936817154981	0.12128617192921425	0.10160646038253818	0.06735632668087048	0.07515869402720815	8.910762354719912e-4
ACSM1	0.08849543038862413	0.08345157114419037	0.14005664106369423	0.09179021285417617	0.12947822553043625	0.08287489628928357	0.08392200400833688	0.11303783110334907	0.09554036547212227	0.09135282214578706	0.9221621285064998
ACSM2A	0.10560770573893834	0.1075892358752303	0.12797378374397678	0.08337684722049088	0.08238355331333685	0.0837363652436765	0.13324899209504912	0.15112790758259992	0.07551175916614448	0.0494438500205568	0.8375314125394356
ACSM2B	0.08437636025556902	0.08203123967993124	0.11575569487928819	0.10028746335775218	0.102104790615829	0.11256567644880126	0.11225999050748241	0.10176963479542893	0.09609160003641352	0.09275754942350427	0.59816269828946
ACSM3	0.12418062797510981	0.1271596427970676	0.11674382644303148	0.09243646552322805	0.09965851627137579	0.09079730383581522	0.12381057066691764	0.07744733467095466	0.07134248988290792	0.07642322193359187	5.814379244489218e-6
ACSM5	0.0997277664801569	0.11205681289156434	0.10794712376678321	0.08071300914939998	0.10906912860191018	0.168507490497409	0.10061545682112219	0.05607285621394141	0.10819320895273553	0.05709714662497728	0.3405649821704286
ACSS2	0.11090714239119569	0.11534654671441287	0.10938596373991336	0.1105202490912648	0.10477679131825011	0.0979510170560766	0.09615089150473315	0.06352223481775598	0.09494843510040815	0.09649072826598933	0.007787821641201094
ACSS3	0.11390916766595621	0.1259814325513771	0.09962422157552511	0.12462866926641473	0.0908947950879096	0.08926018847589606	0.08465412562770049	0.1053204960747357	0.07821762492205567	0.0875092787524294	0.06807573328247347
ACTA2	0.1041387607335708	0.09993870096222567	0.10265940434807798	0.09724389114082818	0.07760966043341651	0.10044803835586052	0.09592002510362425	0.1415669506995247	0.07883830857061679	0.10163625965225465	0.4575311951047972
ACTB;ACTG1	0.09723636084884735	0.09418284167251492	0.10272256580694449	0.09555283395399924	0.07751237036977987	0.10425606001157592	0.09109939156820977	0.12171032738611584	0.1092275354944394	0.10649971288757326	0.5170049101192079
ACTG2	0.10102132078451857	0.12508709349115754	0.09871192440024062	0.09249457762493635	0.09068916625732681	0.06838923675174505	0.1077393609551477	0.10910539518967871	0.13203361772502853	0.07472830682022015	0.47692024533765853
ACTL6A	0.10374809149759406	0.1447904882161936	0.09649050903540135	0.08420182241210405	0.08388108868739404	0.11050406011425007	0.08671293944642876	0.11763390732255148	0.10875963521218876	0.0632774580558939	0.6308664960694577
ACTN1	0.09476196308564158	0.09164248465285331	0.09336687617901417	0.08984893412237115	0.09063642136204114	0.09326453178795066	0.08215675971801754	0.11337591861735835	0.11801899719514715	0.13292711327960496	0.8764398754146844
ACTN3	0.07229538178699674	0.08429831935196086	0.06758896257976009	0.09720747915235947	0.13759533355585138	0.09928547589083003	0.05994413736095253	0.06339274334926552	0.11576387014138789	0.20262829683063543	0.8423970372902617
ACTN4	0.10649410845684999	0.11138201480552198	0.09675550586313894	0.09578364585161799	0.09014476764376796	0.10086380259003673	0.09499150635900273	0.11149768403086725	0.10298489687008641	0.08910206752911011	0.04624958884429269
ACTR10	0.1103619765270734	0.09864150165834656	0.10005443832820866	0.08315902297402876	0.05548445530225286	0.1143348310530374	0.0877697931588947	0.06090165713096402	0.07258867697661948	0.2167036468905741	0.9696343490027785
ACTR1A	0.11311253546386889	0.10928301875560001	0.1039763353947351	0.08309894782965195	0.06918542728693435	0.11931368966579695	0.0957802519683205	0.09962559329927743	0.11242132209078162	0.09420287824503318	0.00857526555104544
ACTR1B	0.10001404613801951	0.09440058050188102	0.10421344097929215	0.0951059176576682	0.10548567840339118	0.10718663185213663	0.0955904449060495	0.1170347715025562	0.08407381760869874	0.09689467045030685	0.9012096905720278
ACTR2	0.09851055567166848	0.09526827091096748	0.09716997203733134	0.09177745335748728	0.09139494962694537	0.0977283943447495	0.10292073486075737	0.12749442087567237	0.10335528463931441	0.09437996367510641	0.9068643798762829
ACTR3	0.10158364595174636	0.09989115257917186	0.09846738445987403	0.0990811774577904	0.08279639599075217	0.09089518496076027	0.1140245821574455	0.10219293839008849	0.10254722033358288	0.108520317718788	0.7796368424441429
ACY1	0.09847336971000203	0.09262915629972014	0.09420866703874507	0.09059459223343161	0.10106903469198161	0.11032623355739174	0.1304341982906308	0.09930254801013859	0.10056580596092152	0.08239639420703693	0.6416072103084888
ACY3	0.09584738668508233	0.12037131871174195	0.08693793918555168	0.09014609314960445	0.07420449331723829	0.10039955823783034	0.14986064112229305	0.12727432548082668	0.06327757504712302	0.0916806690627082	0.7902623809827857
ACYP2	0.10977781538845306	0.08715502110915693	0.09854335816756053	0.10313682434647309	0.11397458563967273	0.10604423686810921	0.09501526146137614	0.08838351096047743	0.11628975433840531	0.08167963172031563	0.1482235424882842
ADA	0.09126578653678717	0.06666467634488642	0.09306913978757228	0.07762802512537921	0.09176347280165635	0.10811888406297807	0.0815359553204631	0.14161187770582578	0.09989148827529623	0.14845069403915545	0.3345668173387654
ADA2	0.08656097379099373	0.07901164390557892	0.0862578475230829	0.07095776478807692	0.08777174093220579	0.0968321364753787	0.05608678223505357	0.06217768225685794	0.1636680632622151	0.21067536483055638	0.6352895043452063
ADAM10	0.0834551972325063	0.07406014644760638	0.08145310378889782	0.10038816134050216	0.0890475775421526	0.10063790962704373	0.08992753274723721	0.12080390038991985	0.10195560556286871	0.1582708653212653	0.21945790605597867
ADAM17	0.09630245587699475	0.09064002416757135	0.080174017341805	0.08181176943568268	0.13183870189710997	0.06982476338012993	0.08589340733462512	0.09215091944095936	0.14372168674699579	0.12764225437812612	0.7261797909192257
ADAMTSL4	0.08243336323049046	0.10339970865861284	0.0960169602996717	0.11677736376589753	0.04981892462536459	0.10349056683233557	0.08017679654628257	0.16020812433417403	0.11101643700557795	0.0966617547015928	0.8486883307097363
ADAR	0.11336737766442741	0.11714544310119161	0.10516767077494207	0.09735788796715851	0.10201378780366441	0.08630195318607597	0.08583817235201027	0.11401571720466867	0.11824012759267591	0.060551862353185146	0.63352956150596
