...1	UMAP1	UMAP2	cluster	cell_id	selected_cluster	slide
1329	7.2442594	1.5193198	4	2599	4	01_rep1
1338	7.2771673	1.5846164	4	2609	4	01_rep1
1349	0.6865843	1.9425565	22	2626	22	01_rep1
1372	1.5703652	0.970858	3	2650	3	01_rep1
1446	5.803799	-0.35082912	27	2733	27	01_rep1
1447	0.16324301	2.2621934	38	2736	38	01_rep1
1467	3.5426521	1.7783605	6	2758	6	01_rep1
1480	0.8279209	2.5805833	15	2771	15	01_rep1
1483	1.4561026	2.688886	37	2775	37	01_rep1
1495	1.5053953	2.6315541	37	2791	37	01_rep1
1542	1.506485	2.5564613	37	2839	37	01_rep1
1565	8.101424	1.9699805	11	2866	11	01_rep1
1577	3.378336	1.084203	40	2879	40	01_rep1
1597	2.4097745	0.84648544	8	2901	8	01_rep1
1601	8.863932	2.2077131	9	2905	9	01_rep1
1604	1.4504308	0.9644642	3	2908	3	01_rep1
1606	3.2669575	0.98920345	40	2910	40	01_rep1
1607	0.8860378	2.5846934	15	2911	15	01_rep1
1615	4.8494287	0.3280882	19	2919	19	01_rep1
1616	1.47566	2.5342445	37	2920	37	01_rep1
1620	6.5373683	2.026914	25	2925	25	01_rep1
1623	5.8511863	2.3022583	45	2928	45	01_rep1
1629	8.988198	2.2083077	9	2934	9	01_rep1
1632	0.7864402	1.9075203	22	2937	22	01_rep1
1635	9.1129465	2.807369	46	2940	46	01_rep1
1647	0.82598484	2.6036997	15	2953	15	01_rep1
1657	6.5755944	0.23050998	23	2964	23	01_rep1
1660	5.7142744	0.6046491	5	2967	5	01_rep1
1666	1.9931431	1.8066101	21	2973	21	01_rep1
1667	1.4407736	2.5643332	37	2974	37	01_rep1
1673	0.75377077	2.6381664	15	2980	15	01_rep1
1695	1.4609092	2.6535633	37	3002	37	01_rep1
1715	6.783191	0.8979766	32	3024	32	01_rep1
1719	1.3486307	2.6121528	37	3028	37	01_rep1
1734	0.8065298	2.4964502	15	3043	15	01_rep1
1739	6.7469673	0.14864428	23	3048	23	01_rep1
1754	2.7356653	0.059333373	2	3065	2	01_rep1
1761	1.356619	2.6732	37	3073	37	01_rep1
1772	2.1374147	1.9159136	21	3084	21	01_rep1
1779	7.667205	2.6735816	36	3091	36	01_rep1
1790	1.3290828	2.5626218	37	3103	37	01_rep1
1821	5.675388	-0.22892798	27	3135	27	01_rep1
1828	1.5042951	1.1632122	3	3142	3	01_rep1
1831	4.2807474	-0.32516393	50	3145	50	01_rep1
1852	5.68017	0.5662321	5	3168	5	01_rep1
1858	1.4574282	2.6816967	37	3174	37	01_rep1
1873	7.6298165	2.6244671	36	3189	36	01_rep1
1892	5.0350404	-0.6326125	39	3210	39	01_rep1
1916	2.1759105	1.6828036	21	3235	21	01_rep1
1935	2.2048874	1.7181568	21	3256	21	01_rep1
1936	7.0141726	2.4935791	20	3257	20	01_rep1
1937	0.8695864	2.6206253	15	3258	15	01_rep1
1941	9.108102	2.8096602	46	3262	46	01_rep1
1943	0.74928087	2.5773928	15	3264	15	01_rep1
1951	-0.06508661	0.1274575	41	3272	41	01_rep1
1959	2.4710965	0.7762426	8	3280	8	01_rep1
1974	2.1275768	1.761947	21	3296	21	01_rep1
1994	9.131707	2.7859073	46	3316	46	01_rep1
2002	0.8396287	2.616901	15	3325	15	01_rep1
2016	0.8135334	2.5609999	15	3341	15	01_rep1
2021	1.4585704	2.6642954	37	3346	37	01_rep1
2024	2.0583143	1.705176	21	3350	21	01_rep1
2049	6.7627797	0.875339	32	3375	32	01_rep1
2064	0.7696843	2.622065	15	3391	15	01_rep1
2075	1.620529	1.0110625	3	3403	3	01_rep1
2076	0.13904491	2.3772004	38	3404	38	01_rep1
2087	0.79546773	2.5756166	15	3415	15	01_rep1
2100	6.761347	0.15083073	23	3428	23	01_rep1
2124	0.72635794	2.578614	15	3455	15	01_rep1
2138	6.628307	0.98087096	32	3470	32	01_rep1
2163	6.6428604	0.10489293	23	3496	23	01_rep1
2175	0.16345233	2.3154023	38	3508	38	01_rep1
2176	0.8895946	2.536745	15	3509	15	01_rep1
2204	8.548443	2.665257	28	3539	28	01_rep1
2218	6.0089955	1.512147	7	3553	7	01_rep1
2220	6.722973	0.19088136	23	3555	23	01_rep1
2244	0.15130675	2.313175	38	3585	38	01_rep1
2248	0.6761598	1.7382103	22	3589	22	01_rep1
2255	3.99973	0.38633993	35	3596	35	01_rep1
2266	0.8400842	2.5639455	15	3607	15	01_rep1
2294	1.8860047	0.104688376	34	3638	34	01_rep1
2319	7.222436	1.4554191	4	3664	4	01_rep1
2328	7.7568617	2.7235906	36	3673	36	01_rep1
2330	6.65678	0.1762346	23	3676	23	01_rep1
2335	8.513133	2.7107368	28	3681	28	01_rep1
2341	1.3812897	2.6936612	37	3688	37	01_rep1
2371	4.1298733	1.1698245	47	3720	47	01_rep1
2386	7.9058156	2.0459778	11	3736	11	01_rep1
2396	0.8658346	2.5265048	15	3748	15	01_rep1
2403	0.1662928	2.289524	38	3756	38	01_rep1
2414	1.4707594	2.6396017	37	3768	37	01_rep1
2417	6.736908	0.13852803	23	3771	23	01_rep1
2436	1.4358915	2.4776838	37	3791	37	01_rep1
2437	0.11800004	2.365748	38	3793	38	01_rep1
2445	7.219185	1.6345946	4	3801	4	01_rep1
2472	5.1926966	1.2476978	30	3833	30	01_rep1
2481	1.4701221	1.143044	3	3843	3	01_rep1
2501	5.1784883	1.309641	30	3866	30	01_rep1
2520	5.6660585	0.52237684	5	3888	5	01_rep1
2523	5.788358	0.5046123	5	3891	5	01_rep1
2525	7.399925	0.7505735	1	3893	1	01_rep1
2565	1.3470663	2.5999117	37	3935	37	01_rep1
2569	0.097719714	2.224751	38	3939	38	01_rep1
2573	6.5994916	2.0107524	25	3944	25	01_rep1
2577	5.1825085	1.2583112	30	3948	30	01_rep1
2608	1.4772735	2.6102421	37	3982	37	01_rep1
2611	0.6584438	1.9260585	22	3986	22	01_rep1
2622	6.6213965	0.207076	23	3999	23	01_rep1
2628	1.4334439	2.578732	37	4006	37	01_rep1
2629	2.057101	1.6135331	21	4007	21	01_rep1
2642	0.8306121	2.5941463	15	4020	15	01_rep1
2696	7.999274	1.9648972	11	4077	11	01_rep1
2703	1.3736653	2.5335968	37	4084	37	01_rep1
2705	6.601073	0.22932759	23	4086	23	01_rep1
2709	0.8049678	2.5999374	15	4090	15	01_rep1
2733	1.4212868	2.5968792	37	4116	37	01_rep1
2741	0.1804709	2.322899	38	4124	38	01_rep1
2742	6.6910954	0.22372518	23	4125	23	01_rep1
2748	1.3594651	2.4846563	37	4131	37	01_rep1
2755	1.5066737	2.5735226	37	4138	37	01_rep1
2795	1.3565224	2.6809905	37	4180	37	01_rep1
2829	0.16406263	2.3559523000000002	38	4219	38	01_rep1
2839	4.2974844	1.0880966	47	4230	47	01_rep1
2840	6.7596383	0.15050884	23	4231	23	01_rep1
2858	8.780789	2.1863623	9	4251	9	01_rep1
2864	8.446247	1.5952735	44	4257	44	01_rep1
2866	7.310209	1.491116	4	4259	4	01_rep1
2877	1.3645928	2.5476635	37	4270	37	01_rep1
2888	4.3708115	1.1666026	47	4281	47	01_rep1
2894	7.227255	1.5447145	4	4287	4	01_rep1
2896	2.8303363	0.08488971	2	4289	2	01_rep1
2939	1.3747903	2.6364987	37	4338	37	01_rep1
2953	0.7437918	2.624272	15	4352	15	01_rep1
2962	8.031886	2.0224154	11	4362	11	01_rep1
2981	6.6233053	0.84051347	32	4383	32	01_rep1
2985	0.7910167	2.4945443	15	4387	15	01_rep1
2988	0.03252466	1.051225	17	4391	17	01_rep1
2989	6.6502852	0.29645243	23	4392	23	01_rep1
3018	0.6660195	0.9745804	43	4427	43	01_rep1
3022	5.017704	0.27844036	19	4431	19	01_rep1
3043	7.303941	1.5950682	4	4456	4	01_rep1
3052	1.3362494	2.6442838	37	4467	37	01_rep1
3061	5.6586323	-0.34038278	27	4478	27	01_rep1
3105	7.32037	1.5371554	4	4533	4	01_rep1
3114	1.4425087	2.477119	37	4543	37	01_rep1
3124	0.75468457	2.559145	15	4557	15	01_rep1
3130	0.80910975	2.565382	15	4563	15	01_rep1
3159	0.8829984	2.6195865	15	4596	15	01_rep1
3164	1.3089198	2.6264086	37	4601	37	01_rep1
3193	3.5354273	-0.84152126	26	4636	26	01_rep1
3203	6.7443905	0.18851808	23	4647	23	01_rep1
3204	5.791167	-0.24370196	27	4648	27	01_rep1
3238	1.3825756	2.5670056	37	4686	37	01_rep1
3240	0.107680015	2.380408	38	4689	38	01_rep1
3245	6.683241	0.15222175	23	4695	23	01_rep1
3268	5.7856417	-0.30973786	27	4728	27	01_rep1
3292	5.673509	0.6137557	5	4758	5	01_rep1
3303	5.0020185	1.9382265	16	4772	16	01_rep1
3341	5.857044	0.5634495	5	4923	5	01_rep1
3357	2.6344297	0.028528938	2	4959	2	01_rep1
3383	0.7484494	1.7929356	22	5009	22	01_rep1
3397	0.007545921	1.7194222	49	5029	49	01_rep1
3419	7.970254	1.9306	11	5064	11	01_rep1
3432	1.4317018	2.6083612	37	5078	37	01_rep1
3438	8.798641	2.2553432	9	5084	9	01_rep1
3440	0.8450585	2.6173737	15	5089	15	01_rep1
3463	4.8795943	2.130139	16	5132	16	01_rep1
3468	0.12441327	0.85695755	17	5149	17	01_rep1
3486	0.13042147	1.018924	17	5652	17	01_rep1
3487	0.6502919	1.7316544	22	5654	22	01_rep1
3520	5.0736284	1.3422102	30	5848	30	01_rep1
3573	8.88661	2.19726	9	5943	9	01_rep1
3644	1.9386308	1.8027662	21	6052	21	01_rep1
3672	0.75219655	0.9096519	43	6094	43	01_rep1
3681	0.47867018	0.12163717	18	6110	18	01_rep1
3701	2.2163372	1.7880955	21	6143	21	01_rep1
3702	1.4437771	2.6501312	37	6144	37	01_rep1
3709	6.4479566	2.6727328	31	6152	31	01_rep1
3738	7.401042	0.82831895	1	6194	1	01_rep1
3745	2.8185925	0.04029223	2	6206	2	01_rep1
3753	3.6113648	1.8981634	6	6217	6	01_rep1
3755	1.5094944	2.6435506	37	6219	37	01_rep1
3758	0.82061493	2.5515945	15	6228	15	01_rep1
3765	0.51348543	0.07688468	18	6237	18	01_rep1
3771	0.41440168	0.008664442	18	6249	18	01_rep1
3777	6.7780156	0.8556411	32	6266	32	01_rep1
3792	6.731711	0.7895043	32	6296	32	01_rep1
3799	-0.019035354	0.9581076	17	6375	17	01_rep1
3804	6.6566715	0.23326385	23	6401	23	01_rep1
3810	7.201636	1.5917861	4	6418	4	01_rep1
3822	8.399358	2.6344032	28	6445	28	01_rep1
3823	5.6497693	0.5206965	5	6446	5	01_rep1
3843	-0.005310567	0.8807352	17	6484	17	01_rep1
3844	6.1143537	1.4469267	7	6485	7	01_rep1
3854	4.896151	-0.6745893	39	6574	39	01_rep1
3858	7.7502623	2.5867746	36	6583	36	01_rep1
3913	3.9188645	0.39959064	35	6672	35	01_rep1
3920	-0.02148809	0.20548967	41	6681	41	01_rep1
3930	0.11142075	0.95789325	17	6693	17	01_rep1
3937	3.792741	1.970647	6	6701	6	01_rep1
3948	0.4078006	0.06719686	18	6717	18	01_rep1
3950	3.9316015	0.47084734	35	6719	35	01_rep1
3953	2.180593	1.7623887	21	6723	21	01_rep1
3963	0.42126402	-0.54704094	48	6739	48	01_rep1
3980	-0.1239034	1.8214457	49	6770	49	01_rep1
4000	5.0405817	-0.65509754	39	6796	39	01_rep1
4003	5.0028257	1.9633243	16	6799	16	01_rep1
4004	1.8660766	0.16394106	34	6800	34	01_rep1
4017	7.54097	0.91162	1	6818	1	01_rep1
4031	1.4233595000000001	0.96844816	3	6836	3	01_rep1
4050	-0.013150324	1.7929791	49	6861	49	01_rep1
4058	7.5218115	0.85646445	1	6870	1	01_rep1
4060	-0.137088	1.6788666	49	6872	49	01_rep1
4081	0.49183917	-0.59687024	48	6901	48	01_rep1
4094	8.470838	1.5570322	44	6918	44	01_rep1
4127	-0.02983773	1.0635624	17	6962	17	01_rep1
4134	1.8858984	-0.55615485	10	6976	10	01_rep1
4138	-0.122051105	1.6562454	49	6982	49	01_rep1
4141	0.55789673	-0.525536	48	6988	48	01_rep1
4146	0.5058384	-0.47274223	48	6996	48	01_rep1
4159	8.803899	2.1744747	9	7017	9	01_rep1
4160	0.7435308	0.81097305	43	7019	43	01_rep1
4164	7.105922	2.3942888	20	7026	20	01_rep1
4172	5.7719455	-0.2718671	27	7036	27	01_rep1
4192	0.14779985	2.3116562	38	7065	38	01_rep1
4233	-0.06718084	-0.40161723	24	7126	24	01_rep1
4254	1.8903201	-0.5595133	10	7153	10	01_rep1
4307	5.7388253	0.6481962	5	7223	5	01_rep1
4311	0.75969994	1.7742647	22	7229	22	01_rep1
4337	1.9227998	0.15537761	34	7263	34	01_rep1
4351	3.897745	0.33423352	35	7281	35	01_rep1
4361	2.1538463	1.6725832	21	7293	21	01_rep1
4371	1.5659618	1.0227145	3	7305	3	01_rep1
4415	0.11476774	0.96622664	17	7362	17	01_rep1
4417	0.8207879	2.5625966	15	7365	15	01_rep1
4440	6.6802363	0.9258273	32	7397	32	01_rep1
4441	5.8355107	0.64323109999999994	5	7398	5	01_rep1
4445	7.9224567	1.9628345	11	7404	11	01_rep1
4450	0.009328111	0.09823923	41	7409	41	01_rep1
4452	6.534678	1.9222573	25	7411	25	01_rep1
4454	4.243111	-0.88663936	14	7413	14	01_rep1
4457	3.533705	-0.15129371	33	7419	33	01_rep1
4469	8.455129	2.5555408	28	7438	28	01_rep1
4476	8.056607	1.9287202	11	7447	11	01_rep1
4478	8.447507	2.5808184	28	7449	28	01_rep1
4488	1.9978127	0.09611002	34	7459	34	01_rep1
4502	6.6880436	0.21820185	23	7477	23	01_rep1
4503	-0.17107607	1.696151	49	7478	49	01_rep1
4518	-0.1339555	1.7263975	49	7494	49	01_rep1
4524	4.305253	1.0991055	47	7501	47	01_rep1
4533	0.77078253	2.5420167	15	7513	15	01_rep1
4537	0.090788096	2.2686858	38	7517	38	01_rep1
4542	5.0181913	-0.73322266	39	7522	39	01_rep1
4560	4.1921606	1.2586949	47	7544	47	01_rep1
4580	8.518134	2.7322576	28	7566	28	01_rep1
4585	5.791531	-0.26994175	27	7571	27	01_rep1
4598	0.79869515	0.9267366	43	7586	43	01_rep1
4610	0.5065282	-0.08083835	18	7598	18	01_rep1
4628	7.807886	2.6665123	36	7617	36	01_rep1
4638	2.4138312	0.8896126	8	7629	8	01_rep1
4644	8.827884	2.2542708	9	7638	9	01_rep1
4648	7.7504	2.7187848	36	7642	36	01_rep1
4658	3.268982	1.0267569	40	7656	40	01_rep1
4713	2.3617742	0.7173831	8	7718	8	01_rep1
4719	9.150906	2.7833083	46	7724	46	01_rep1
4730	4.2188826	-0.41216645	50	7735	50	01_rep1
4732	8.869319	2.1622412	9	7737	9	01_rep1
4735	-0.114765756	1.6952085	49	7740	49	01_rep1
4748	8.889418	2.1806402	9	7754	9	01_rep1
4757	8.434485	2.7283986	28	7765	28	01_rep1
4760	7.5874395	0.8576294	1	7768	1	01_rep1
4778	3.4048681	-0.22302277	33	7787	33	01_rep1
4787	6.753128	0.14970694	23	7797	23	01_rep1
4797	-0.051323693	1.627494	49	7807	49	01_rep1
4813	9.14218	2.791695	46	7825	46	01_rep1
4887	4.2934427	-0.9345861	14	7906	14	01_rep1
4890	8.908048	2.1686	9	7909	9	01_rep1
4901	2.059031	1.8846745	21	7921	21	01_rep1
4908	0.6547275	0.96791303	43	7930	43	01_rep1
4923	0.6780986	0.9870178	43	7946	43	01_rep1
4930	2.0262184	1.9106541	21	7953	21	01_rep1
4931	8.98035	2.2445145	9	7954	9	01_rep1
4949	4.2236204	-0.89626163	14	7973	14	01_rep1
4951	3.6070478	1.7876354	6	7975	6	01_rep1
4958	9.133317	2.7821465	46	7998	46	01_rep1
4986	2.7549903	0.10601512	2	8099	2	01_rep1
4992	1.9534347	-0.7430139	10	8105	10	01_rep1
4994	0.92044115	-1.2255026	29	8107	29	01_rep1
4999	1.8957989	-0.6711032	10	8113	10	01_rep1
5000	3.6265402	-0.8602632	26	8115	26	01_rep1
5026	0.6648239	1.9423958	22	8141	22	01_rep1
5039	3.554827	-0.29439026	33	8156	33	01_rep1
5071	1.1177746	-0.2308442	12	8189	12	01_rep1
5073	3.5167902	-0.789616	26	8191	26	01_rep1
5078	6.012357	1.5588832	7	8196	7	01_rep1
5089	0.47583374	-0.5660863	48	8207	48	01_rep1
5091	6.4510922	2.6070602	31	8209	31	01_rep1
5104	1.8119985	0.09432285	34	8222	34	01_rep1
5112	0.55235296	-0.48788083	48	8230	48	01_rep1
5114	-0.0024598662	-0.28790343	24	8232	24	01_rep1
5129	-0.06687808	-0.35536847	24	8249	24	01_rep1
5141	1.2015159	0.23469758	13	8262	13	01_rep1
5148	0.95278275	-1.2417399	29	8269	29	01_rep1
5160	-0.071461685	-0.2571836	24	8282	24	01_rep1
5192	0.010446065	-0.36246845	24	8317	24	01_rep1
5193	5.7695465	-0.32534528	27	8318	27	01_rep1
5209	6.642223	0.91974056	32	8335	32	01_rep1
5229	7.439326	0.7774452	1	8356	1	01_rep1
5243	2.8513558	-0.8335284	42	8371	42	01_rep1
5261	3.4798262	-0.8538021	26	8391	26	01_rep1
5290	-0.036198746	-0.27579772	24	8422	24	01_rep1
5340	1.9271146	-0.57623315	10	8474	10	01_rep1
5349	1.903597	-0.6189329	10	8483	10	01_rep1
5367	5.7317815	-0.3390963	27	8503	27	01_rep1
5377	0.49516213	-0.5826792	48	8516	48	01_rep1
5401	7.401611	0.81176376	1	8540	1	01_rep1
5440	6.0286727	1.4393343	7	8583	7	01_rep1
5452	4.19055	-0.9240941	14	8596	14	01_rep1
5456	0.98801947	-1.3030171	29	8600	29	01_rep1
5480	0.45566872	-0.531301	48	8626	48	01_rep1
5484	4.927708	2.0355706	16	8630	16	01_rep1
5508	3.9423325	0.4307901	35	8655	35	01_rep1
5510	-0.19337049	1.7101755	49	8657	49	01_rep1
5511	4.3036537	-0.41250658	50	8660	50	01_rep1
5527	1.2484698	0.29314166	13	8676	13	01_rep1
5532	4.2190027	-0.32556048	50	8682	50	01_rep1
5549	5.082951	2.0696306	16	8699	16	01_rep1
5562	3.356084	0.8915874	40	8714	40	01_rep1
5568	2.0127053	-0.62485856	10	8721	10	01_rep1
5570	6.665594	0.88616014	32	8723	32	01_rep1
5578	0.42922938	-0.46609437	48	8731	48	01_rep1
5582	3.5009751	-0.25184396	33	8735	33	01_rep1
5591	4.8617125	2.000496	16	8745	16	01_rep1
5597	4.1486673	1.1898566	47	8751	47	01_rep1
5598	1.1892495	-0.31071103	12	8752	12	01_rep1
5602	-0.027084194	0.1423659	41	8756	41	01_rep1
