,UMAP1,UMAP2,cluster,cell_id,selected_cluster
48703,13.466453,6.628311,37,72210,0
48704,14.869219,6.3291593,5,72211,0
48705,10.813104,7.1722927,25,72212,0
48706,11.652654,4.357143,7,72213,7
48707,15.168056,6.9652014,39,72214,0
48708,13.806486,6.53696,37,72215,0
48709,11.476222,6.449405,42,72216,0
48710,10.9427395,5.3080845,46,72217,0
48711,12.895757,7.7777267,44,72218,0
48712,14.306354,7.8306375,41,72219,0
48713,13.347286,5.664285,48,72220,0
48714,12.874155,5.679354,31,72221,0
48715,11.033715,3.4475064,32,72222,0
48716,11.14582,3.3461845,32,72223,0
48717,12.472352,6.4204655,1,72224,0
48718,12.603968,7.795999,44,72225,0
48719,11.982704,5.6537066,13,72226,0
48720,13.330308,7.575989,30,72227,0
48721,11.886173,7.680052,21,72229,21
48722,12.21541,5.8554225,13,72230,13
48723,14.363805,6.768258,22,72231,0
48724,11.988619,6.468925,42,72232,0
48725,13.264378,7.929449,47,72233,0
48726,10.892997,5.230571,46,72234,0
48727,11.319038,4.8141303,27,72235,0
48728,14.800058,7.471154,41,72236,0
48729,11.482409,5.9627256,18,72237,0
48730,11.52883,5.310699,27,72238,0
48731,12.2115755,7.1430936,14,72239,0
48732,12.758579,8.66146,6,72240,0
48733,13.17004,5.0008507,20,72241,0
48734,12.390279,6.9065194,14,72242,0
48735,13.26832,8.051212,47,72243,47
48736,12.050154,5.6312995,13,72244,0
48737,14.167227,6.694164,37,72245,0
48738,12.915818,7.1537423,30,72246,0
48739,14.951244,7.6817646,41,72247,0
48740,11.877296,8.461295,16,72248,0
48741,12.068412,4.7345448,33,72249,0
48742,13.562935,5.1555123,20,72250,0
48743,13.01218,6.5994115,1,72251,0
48744,13.162645,7.725531,47,72252,0
48745,11.56554,8.2566185,24,72253,0
48746,14.951461,6.1966577,5,72254,0
48747,12.140921,5.291957,33,72255,0
48748,12.032719,4.2886233,7,72256,0
48749,15.15807,7.0618916,39,72257,0
48750,14.803002,6.1870546,5,72258,0
48751,15.191438,7.74733,17,72259,0
48752,14.125526,5.955149,48,72260,0
48753,11.2901745,7.046885,25,72261,0
48754,13.488235,5.0392933,20,72263,0
48755,13.345785,7.1283894,30,72264,0
